"","Country","2020-01-25","2020-01-26","2020-01-27","2020-01-28","2020-01-29","2020-01-30","2020-01-31","2020-02-01","2020-02-02","2020-02-03","2020-02-04","2020-02-05","2020-02-06","2020-02-07","2020-02-08","2020-02-09","2020-02-10","2020-02-11","2020-02-12","2020-02-13","2020-02-14","2020-02-15","2020-02-16","2020-02-17","2020-02-18","2020-02-19","2020-02-20","2020-02-21","2020-02-22","2020-02-23","2020-02-24","2020-02-25","2020-02-26","2020-02-27","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-16","2020-05-17","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22","2020-05-23","2020-05-24","2020-05-25","2020-05-26","2020-05-27","2020-05-28","2020-05-29","2020-05-30","2020-05-31","2020-06-01","2020-06-02","2020-06-03","2020-06-04","2020-06-05","2020-06-06","2020-06-07"
"24","Japan",3,3,4,6,7,11,14,17,20,20,20,33,25,25,25,26,26,26,28,29,33,41,53,59,65,73,85,93,105,132,144,157,164,186,210,230,239,254,268,284,317,349,408,455,488,514,568,620,675,716,780,814,829,829,873,950,996,1046,1089,1128,1193,1291,1387,1499,1693,1866,1953,2178,2384,2617,2920,3271,3654,3906,4257,4768,5347,6005,6748,7255,7645,8100,8582,9167,9795,10361,10751,11119,11496,11919,12388,12829,13182,13385,13576,13852,14088,14281,14545,14839,15057,15231,15354,15463,15547,15628,15747,15798,15874,16024,16079,16193,16237,16285,16305,16365,16385,16424,16513,16536,16550,16581,16623,16651,16719,16683,16804,16851,16884,16930,16986,17018,17064,17103,17141
"25","Kazakhstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,33,36,46,53,56,60,63,79,97,125,204,265,294,312,348,386,435,460,531,604,670,709,727,802,859,897,979,1091,1275,1295,1480,1546,1546,1546,1852,1995,2025,2025,2416,2601,2791,2982,3078,3333,3551,3785,3877,3988,4160,4298,4509,4578,4922,5056,5138,5207,5417,5571,5689,5850,6157,6440,6751,6969,7234,7597,7919,8322,8531,8969,9304,9932,9576,10382,10858,11308,11571,11796,12067,12312,12511,12694
"26","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,61,63,71,79,88,91,94,106,112,125,126,132,140,145,165,184,224,227,250,283,362,377,387,397,449,480,510,535,572,604,630,669,703,731,763,780,790,799,799,813,823,851,855,856,860,861,862,870,870,884,919,919,944,944,944,955,955,989,989,1003,1004,1025,1032,1038,1038,1048,1047,1048,1064,1064,1067,1080,1142,1142,1142,1151
"27","Kuwait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,12,43,43,45,45,56,56,56,58,58,58,62,64,65,69,80,80,100,112,112,130,130,142,148,159,176,189,191,195,208,208,235,235,255,266,289,342,417,479,556,556,665,743,855,910,993,1154,1234,1300,1355,1405,1524,1658,1751,1915,1995,2080,2248,2399,2614,2892,3075,3288,3440,3740,4024,4377,4619,4983,5278,5804,6289,6567,7208,7623,8688,9286,10277,11028,11975,12860,13802,14850,15691,16764,17568,18609,19564,20464,21302,21967,22575,24112,23267,25184,26192,27043,27762,28649,29359,29921,30644,31131
"28","Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,6,9,14,17,25,26,36,69,105,143,179,209,274,299,358,394,484,484,533,581,649,771,771,811,843,880,912,955,999,1053,1062,1070,1070,1091,1149,1239,1298,1326,1350,1370,1398,1410,1410,1438,1449,1449,1449,1375,1385,1399,1406,1410,1419,1423,1428,1433,1436,1444,1479,1485,1491,1505,1511,1523,1534,1541,1547,1562,1577,1594,1604,1616,1623,1635,1639,1656,1647,1662,1670,1675,1678,1682,1684,1687,1694,1705
"29","Malaysia",NA,3,4,4,4,7,8,8,8,8,10,10,12,14,15,17,18,18,18,18,19,21,22,22,22,22,22,22,22,22,22,22,22,22,24,24,24,24,29,50,50,55,83,93,93,117,129,129,129,197,238,553,553,553,673,900,1030,1183,1306,1518,1624,1796,2031,2161,2320,2470,2626,2766,2908,3116,3333,3483,3662,3793,3963,4119,4228,4346,4530,4683,4817,4987,5072,5182,5251,5305,5389,5424,5482,5532,5603,5691,5742,5780,5820,5851,5945,6002,6071,6176,6298,6353,6383,6428,6467,6535,6589,6656,6726,6742,6779,6819,6855,6872,6894,6941,6978,7009,7059,7137,7185,7245,7417,7604,7629,7619,7732,7762,7819,7857,7877,7970,8247,8266,8303
"30","Mauritius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,12,12,12,36,42,47,81,96,102,102,107,143,154,169,186,196,227,244,268,273,314,318,319,324,324,324,324,324,324,325,328,328,328,329,331,331,331,332,334,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,334,334,334,334,334,335,335,335,335,335,335,335,337,337
"31","Mexico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,5,5,5,5,5,7,7,7,7,11,12,26,41,53,53,82,93,118,164,164,251,370,370,478,478,589,717,848,993,1094,1215,1378,1510,1688,1890,2143,2439,2785,3181,3441,3844,4219,4661,5014,5399,5847,6297,6875,7497,8261,8772,9501,10544,11633,12872,13842,14677,15529,16752,17799,19224,20739,22088,23471,24905,26025,27634,29616,31522,33460,35022,36327,38324,40186,42595,45032,47144,49219,51633,54346,56594,59567,62527,65856,68620,71105,78023,74560,81400,84627,87512,90664,93435,97326,101238,105680,110026
"32","Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,10,14,14,21,22,29,52,67,70,82,85,91,105,120,140,160,197,203,223,248,248,252,255,262,267,274,288,288,303,305,308,308,312,313,314,316,319,319,321,321,321,322,322,322,322,322,323,324,324,324,324,324,325,325,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324
"33","Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,7,13,18,28,38,82,128,188,265,321,382,503,614,804,959,1135,1413,1705,2051,2460,2994,3631,4204,4749,5560,6412,7431,8603,9762,10866,11750,12595,13614,14697,15723,16627,17851,18803,19580,20549,21762,23097,24413,25587,26551,27419,28153,29214,30449,31589,32655,33405,34134,34842,35729,36535,37190,37845,38245,38416,38802,39316,39791,40236,40571,40770,41087,41319,41774,42093,42382,42627,42788,42984,43211,43481,43681,43870,43995,44141,44249,44447,44700,44888,45064,45236,45445,45578,45950,45768,46126,46257,46442,46545,46647,46733,46942,47152,47335
"34","New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,4,5,5,5,5,5,5,5,6,6,6,11,11,20,39,53,66,102,102,189,262,338,416,476,552,600,647,723,774,824,872,911,943,969,992,1015,1035,1049,1064,1072,1078,1084,1086,1094,1098,1105,1107,1113,1112,1114,1117,1121,1122,1124,1126,1129,1132,1134,1136,1137,1137,1138,1139,1141,1142,1144,1147,1147,1147,1147,1148,1148,1149,1149,1153,1153,1153,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154
"35","North Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,3,3,3,7,7,7,7,9,13,13,19,31,36,48,70,85,114,136,148,177,201,219,241,259,285,329,354,384,430,483,555,570,599,617,663,711,828,828,854,908,974,1081,1117,1170,1207,1225,1231,1259,1300,1326,1367,1386,1399,1421,1442,1465,1494,1506,1511,1518,1526,1539,1572,1586,1622,1642,1664,1674,1694,1723,1740,1762,1792,1817,1839,1858,1898,1921,1941,1978,1999,2015,2078,2040,2130,2164,2226,2315,2391,2492,2612,2792,2915
"36","Norway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,6,15,19,25,33,56,86,113,147,169,192,277,489,489,750,907,1077,1169,1308,1423,1552,1742,1926,2132,2371,2566,2916,3156,3581,3845,4102,4226,4447,4665,4935,5208,5510,5640,5755,5863,6010,6160,6244,6320,6415,6488,6566,6677,6791,6791,6984,7068,7113,7166,7250,7345,7408,7467,7505,7533,7605,7667,7710,7759,7759,7809,7847,7903,7953,7995,8034,8069,8099,8106,8135,8158,8175,8197,8197,8197,8249,8257,8268,8268,8309,8309,8309,8352,8364,8401,8383,8411,8411,8411,8411,8446,8446,8477,8504,8504
"37","Portugal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,7,9,13,21,30,30,41,41,41,112,112,245,331,448,642,785,1020,1280,1600,2060,2362,2995,3544,4268,5170,5962,6408,7443,8251,9034,9886,10524,11278,11730,12442,13141,13956,15472,15987,16585,16934,17448,18091,18841,19022,19685,20206,20863,21379,21982,22353,22797,23392,23864,24027,24322,24505,25056,25351,25190,25282,25524,25702,26182,26715,27268,27406,27581,27679,27913,28132,28319,28583,28810,29036,29209,29432,29660,29912,30200,30471,30623,30788,31007,31596,31292,31946,32203,32500,32700,32895,33261,33592,33969,34351
"38","Republic of Korea",2,2,4,4,4,4,11,12,15,15,16,18,23,24,24,27,27,28,28,28,28,28,29,30,31,51,104,204,346,602,763,977,1261,1766,2337,3150,3736,4212,4812,5328,5766,6284,6767,7134,7382,7513,7755,7869,7979,8086,8162,8236,8320,8320,8413,8652,8799,8897,8961,9037,9137,9241,9332,9478,9583,9661,9786,9887,9976,10062,10156,10237,10284,10331,10384,10423,10450,10480,10512,10537,10564,10591,10613,10635,10653,10661,10674,10683,10694,10702,10708,10718,10728,10738,10752,10761,10765,10774,10780,10793,10801,10804,10806,10810,10822,10840,10874,10909,10936,10962,10991,11018,11037,11050,11065,11078,11110,11122,11142,11165,11190,11206,11225,11265,11402,11344,11441,11468,11503,11541,11590,11629,11668,11719,11776
"39","Romania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,3,3,4,4,6,7,13,15,15,25,48,48,64,123,158,158,184,246,260,308,367,433,576,762,906,1029,1292,1452,1760,1952,2245,2460,2738,3183,3613,3864,4057,4417,4761,5202,5467,5990,6300,6633,6879,7216,7707,8067,8418,8746,8936,9242,9710,10096,10417,10635,11036,11339,11616,11978,12240,12567,12732,13163,13512,13837,14107,14499,14811,15131,15362,15588,15778,16002,16247,16437,16704,16871,17036,17191,17387,17585,17712,17857,18070,18283,18429,18791,18594,18982,19133,19257,19398,19517,19669,19907,20103,20290
"40","Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,12,19,19,31,41,46,70,85,96,123,135,173,188,249,303,384,457,528,659,741,785,900,1060,1171,1476,1624,1908,2200,2447,2666,2867,3105,3380,3630,4054,4465,4873,5318,5690,5994,6318,6630,6890,7114,7276,7483,7779,8042,8275,8497,8724,9009,9205,9362,9464,9557,9677,9791,9848,9943,10032,10114,10176,10243,10295,10374,10438,10496,10610,10699,10733,10833,10919,11024,11092,11159,11193,11227,11300,11275,11354,11381,11412,11430,11454,11523,11571,11667,11741
"41","Singapore",3,4,4,7,7,10,13,16,18,18,18,24,28,30,33,40,43,45,47,50,58,67,72,75,77,81,84,85,86,89,89,90,91,93,96,98,102,106,108,110,110,117,130,138,150,160,166,178,187,200,212,243,243,266,313,345,385,432,455,507,558,631,683,732,802,844,879,926,1000,1049,1114,1189,1309,1375,1481,1623,1910,2108,2299,2532,2918,3252,3699,4427,5050,5992,6588,8014,9125,10141,11178,12075,12693,13624,14423,14951,15641,16169,17101,17548,18205,18778,19410,20198,20939,21707,22460,23336,23822,24671,25346,26098,26891,27356,28038,28343,28794,29364,29812,30426,31068,31616,31960,32343,33249,32876,33860,34366,34884,35292,35836,36405,36922,37183,37527
"42","Slovakia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,7,7,10,21,30,44,61,72,97,105,123,137,178,185,191,204,216,226,295,295,336,336,363,400,426,450,471,485,534,598,682,701,715,728,742,769,835,863,977,1049,1089,1161,1173,1199,1244,1325,1360,1373,1379,1381,1384,1391,1396,1403,1407,1408,1413,1421,1429,1445,1455,1455,1457,1457,1465,1469,1477,1480,1493,1494,1495,1495,1496,1502,1503,1504,1509,1511,1513,1520,1515,1520,1521,1522,1522,1522,1525,1526,1526,1528
"43","Slovenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,9,12,16,23,31,57,57,141,141,219,253,275,286,319,341,383,414,442,480,528,577,632,691,730,763,814,841,897,934,977,997,1021,1055,1091,1124,1160,1188,1205,1212,1220,1248,1268,1304,1317,1330,1335,1340,1353,1366,1373,1388,1407,1407,1408,1418,1429,1434,1439,1439,1439,1445,1448,1449,1450,1454,1457,1460,1461,1463,1464,1465,1465,1466,1466,1467,1468,1468,1478,1478,1509,1469,1469,1473,1471,1473,1473,1473,1483,1475,1477,1477,1489,1494
"44","Spain",NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12,25,32,45,45,114,151,198,257,374,430,589,1024,1639,2140,2965,4231,5753,7753,9191,11178,13716,17147,19980,24926,28572,33089,39673,47610,56188,64059,72248,78797,85195,94417,102136,110238,117710,124736,130759,135032,140510,146690,152446,157022,161852,166019,169496,172541,177633,182816,188068,191726,195944,200210,204178,208389,213024,219764,219764,207634,209465,210773,212917,213435,215216,216582,217466,218011,219329,220325,221447,222857,223578,224390,227436,228030,228691,229540,230183,230698,231350,231606,232037,232555,233037,234824,235290,235772,235400,236631,238278,237141,238936,239600,239801,240010,240304,240326,240660,240978,241310
"45","Sweden",NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,12,13,14,15,24,35,61,137,161,203,248,326,461,620,775,924,992,1059,1167,1279,1423,1623,1746,1906,2016,2272,2510,2806,3046,3447,3700,4028,4435,4947,5466,6078,6443,6830,7206,7693,8419,9141,9685,10151,10483,10948,11445,11927,12540,13216,13822,14385,14777,15322,16004,16755,17567,18177,18640,18926,19621,20302,21092,21520,22082,22317,22721,23216,23918,24623,25265,25921,26322,26670,27272,27909,28582,29207,29677,30143,30377,30799,31523,32172,32809,33188,33459,33843,34440,35727,35088,36476,37113,37542,37814,38589,40803,41883,42939,43887
"46","Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,6,10,18,24,30,37,56,86,209,264,332,332,491,645,858,1125,1359,2200,2200,2650,3010,3863,4840,6077,6971,8015,8789,9714,10714,12104,13152,14274,15412,16108,17070,18844,19706,20489,21065,21574,22164,22710,23495,24228,24820,25220,25499,25753,26336,26651,26997,27322,27658,27862,27981,28186,28414,28595,28978,28978,29081,29181,29324,29503,29622,29734,29822,29898,29926,29977,30043,30168,30168,30222,30261,30297,30330,30380,30431,30489,30504,30514,30535,30575,30611,30624,30642,30653,30663,30678,30713,30693,30745,30762,30779,30788,30791,30810,30830,30853,30873
"47","Syrian Arab Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,5,5,5,9,10,10,10,16,16,16,19,19,19,19,19,19,25,25,25,29,33,33,38,38,39,39,42,42,42,42,42,42,43,43,43,43,44,44,44,44,44,45,45,47,47,47,47,47,48,48,50,51,58,58,58,58,58,59,70,86,106,121,122,121,122,122,122,123,123,123,124,124,125
"48","Thailand",4,5,5,14,14,14,14,19,19,19,19,25,25,25,32,32,32,33,33,33,33,34,34,35,35,35,35,35,35,35,35,37,40,40,40,42,42,42,43,43,47,47,48,50,50,53,59,70,75,75,75,114,147,177,212,322,322,411,721,827,934,934,1136,1136,1388,1524,1524,1771,1771,1875,1978,2067,2169,2220,2369,2423,2473,2518,2551,2579,2613,2643,2672,2700,2733,2765,2792,2811,2826,2839,2854,2907,2922,2931,2938,2947,2954,2960,2966,2969,2987,2988,2989,2992,3000,3004,3009,3009,3017,3017,3018,3025,3025,3028,3031,3033,3034,3037,3037,3040,3040,3042,3045,3054,3076,3065,3077,3081,3082,3083,3084,3101,3102,3104,3112
"49","The United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,4,8,8,9,9,9,9,9,9,9,9,9,9,9,9,13,13,13,16,20,23,36,39,51,89,118,167,210,277,323,373,460,594,802,1144,1395,1547,1954,2630,3277,3983,5018,5687,6654,8081,9533,11662,14547,17093,19526,22145,25154,29478,33722,38172,41907,47810,51612,55246,60737,65081,70276,78995,84283,88625,93877,98480,103097,108696,114221,120071,124747,129048,133499,138082,143468,148381,152844,157153,161149,165225,171257,177458,182264,186603,190588,194994,201205,206719,211368,215264,219187,223064,226467,229709,233155,236715,240165,243699,246410,248822,248297,250912,254199,257158,259563,261188,265231,269131,267244,271226,272830,2747661,276336,277989,279860,281665,283315,284872
"50","United States of America",2,2,5,5,5,5,6,7,8,11,11,11,12,12,12,12,12,13,13,14,15,15,15,15,15,15,15,15,35,35,35,53,53,59,59,62,62,62,64,108,129,148,213,213,213,472,696,987,1264,1678,1678,1678,3503,3536,7087,10442,15219,15219,31573,42164,51914,63570,68334,85228,103321,122653,140640,163199,187302,213600,241703,273808,307318,333811,363321,395030,425889,461275,492881,524514,553822,578268,604070,632781,665330,695353,723605,751273,776907,800926,830053,860772,899281,931698,960916,983457,1003974,1035353,1067127,1093880,1125719,1154985,1171185,1193452,1215571,1245874,1245775,1271645,1298287,1322054,1340098,1361522,1382362,1409452,1432265,1464232,1477459,1501876,1525186,1547973,1568448,1592599,1618757,1634010,1675258,1658896,1694864,1716078,1734040,1783638,1798330,1823220,1837803,1857872,1886794
